val_acc,val_loss,best_val_acc,learning_rate,loss,step,
0.557971,0.586984,0.557971,0.000020,0.704287,23.000000,
0.623188,0.558605,0.623188,0.000018,0.643561,46.000000,
0.652174,0.610363,0.652174,0.000016,0.616565,69.000000,
0.666667,0.495530,0.666667,0.000013,0.524600,92.000000,
0.688406,0.518009,0.688406,0.000011,0.443945,115.000000,
0.695652,0.501696,0.695652,0.000009,0.444572,138.000000,
0.710145,0.529908,0.710145,0.000007,0.401929,161.000000,
0.731884,0.664444,0.731884,0.000005,0.207350,184.000000,
0.710145,0.658154,0.731884,0.000003,0.215537,207.000000,
0.717391,0.612746,0.731884,0.000000,0.209499,230.000000,
0.717391,0.615914,0.731884,0.000000,0.188522,234.000000,
