val_pearson,val_spearmanr,val_corr,val_loss,best_val_spearmanr,learning_rate,loss,step,
0.780516,0.790681,0.785599,0.957542,0.790681,0.000020,3.325761,54.000000,
0.858419,0.863848,0.861133,0.983722,0.863848,0.000018,1.112303,108.000000,
0.865747,0.876604,0.871176,0.608069,0.876604,0.000016,0.923431,162.000000,
0.876776,0.875125,0.875951,0.540366,0.876604,0.000013,0.564872,216.000000,
0.883759,0.886968,0.885363,0.537456,0.886968,0.000011,0.505542,270.000000,
0.892632,0.892212,0.892422,0.463580,0.892212,0.000009,0.461012,324.000000,
0.888651,0.892947,0.890799,0.483733,0.892947,0.000007,0.385878,378.000000,
0.897257,0.895562,0.896409,0.447134,0.895562,0.000004,0.275071,432.000000,
0.896890,0.894527,0.895708,0.457565,0.895562,0.000002,0.258573,486.000000,
0.897242,0.895012,0.896127,0.450565,0.895562,0.000000,0.260393,540.000000,
