val_pearson,val_spearmanr,val_corr,val_loss,best_val_spearmanr,learning_rate,loss,step,
0.774113,0.757469,0.765791,1.139787,0.757469,0.000020,5.022359,54.000000,
0.865046,0.869127,0.867086,0.591335,0.869127,0.000018,0.919409,108.000000,
0.881522,0.882008,0.881765,0.501056,0.882008,0.000016,0.667882,162.000000,
0.885853,0.886823,0.886338,0.505178,0.886823,0.000013,0.433178,216.000000,
0.886694,0.885192,0.885943,0.489179,0.886823,0.000011,0.419091,270.000000,
0.894522,0.892298,0.893410,0.476693,0.892298,0.000009,0.382793,324.000000,
0.895503,0.894645,0.895074,0.479244,0.894645,0.000007,0.299103,378.000000,
0.897383,0.894662,0.896023,0.453464,0.894662,0.000004,0.192081,432.000000,
0.896824,0.894759,0.895792,0.450700,0.894759,0.000002,0.190224,486.000000,
0.897825,0.895489,0.896657,0.445499,0.895489,0.000000,0.178545,540.000000,
