val_acc,val_loss,best_val_acc,learning_rate,loss,step,
0.536232,0.718758,0.536232,0.000020,0.702668,23.000000,
0.586957,0.646834,0.586957,0.000018,0.671814,46.000000,
0.652174,0.608230,0.652174,0.000016,0.655242,69.000000,
0.717391,0.580427,0.717391,0.000013,0.578366,92.000000,
0.644928,0.605983,0.717391,0.000011,0.514338,115.000000,
0.695652,0.600239,0.717391,0.000009,0.485786,138.000000,
0.702899,0.576035,0.717391,0.000007,0.425029,161.000000,
0.710145,0.613230,0.717391,0.000005,0.337434,184.000000,
0.688406,0.611179,0.717391,0.000003,0.292367,207.000000,
0.710145,0.652380,0.717391,0.000000,0.344399,230.000000,
0.702899,0.647950,0.717391,0.000000,0.346977,234.000000,
