val_pearson,val_spearmanr,val_corr,val_loss,best_val_spearmanr,learning_rate,loss,step,
0.867589,0.867949,0.867769,1.341302,0.867949,0.000020,2.616505,54.000000,
0.882232,0.883088,0.882660,0.598191,0.883088,0.000018,0.720581,108.000000,
0.898056,0.897215,0.897636,0.586642,0.897215,0.000016,0.639671,162.000000,
0.900562,0.900771,0.900666,0.437636,0.900771,0.000013,0.413288,216.000000,
0.905449,0.903622,0.904536,0.503006,0.903622,0.000011,0.383268,270.000000,
0.901704,0.900192,0.900948,0.522032,0.903622,0.000009,0.341578,324.000000,
0.906140,0.906820,0.906480,0.465258,0.906820,0.000007,0.282842,378.000000,
0.907548,0.905676,0.906612,0.435409,0.906820,0.000004,0.212677,432.000000,
0.908029,0.906150,0.907089,0.427873,0.906820,0.000002,0.200930,486.000000,
0.908513,0.906738,0.907626,0.430935,0.906820,0.000000,0.209045,540.000000,
