val_mcc,val_loss,best_val_mcc,learning_rate,loss,step,
0.453221,0.556248,0.453221,0.000020,0.548679,80.000000,
0.509396,0.487623,0.509396,0.000018,0.448455,160.000000,
0.502129,0.498358,0.509396,0.000016,0.380766,240.000000,
0.567778,0.460003,0.567778,0.000013,0.299385,320.000000,
0.517958,0.597000,0.567778,0.000011,0.216906,400.000000,
0.487110,0.745341,0.567778,0.000009,0.231072,480.000000,
0.565487,0.602178,0.567778,0.000007,0.212704,560.000000,
0.591104,0.851038,0.591104,0.000005,0.113156,640.000000,
0.559860,0.743290,0.591104,0.000002,0.119215,720.000000,
0.559737,0.793796,0.591104,0.000000,0.111114,800.000000,
0.559737,0.793623,0.591104,0.000000,0.156814,804.000000,
