val_acc,val_loss,best_val_acc,learning_rate,loss,step,
0.536232,0.691810,0.536232,0.000020,0.710139,23.000000,
0.528986,0.640374,0.536232,0.000018,0.712771,46.000000,
0.471014,0.834433,0.536232,0.000016,0.729918,69.000000,
0.471014,0.729909,0.536232,0.000013,0.717575,92.000000,
0.471014,0.711691,0.536232,0.000011,0.707603,115.000000,
0.471014,0.701725,0.536232,0.000009,0.717609,138.000000,
0.528986,0.665361,0.536232,0.000007,0.712229,161.000000,
0.471014,0.706489,0.536232,0.000005,0.718031,184.000000,
0.528986,0.690882,0.536232,0.000003,0.708078,207.000000,
0.528986,0.685413,0.536232,0.000000,0.707638,230.000000,
0.528986,0.685716,0.536232,0.000000,0.680865,234.000000,
