val_pearson,val_spearmanr,val_corr,val_loss,best_val_spearmanr,learning_rate,loss,step,
0.766222,0.760071,0.763147,0.944169,0.760071,0.000020,5.727838,54.000000,
0.859804,0.861526,0.860665,0.603141,0.861526,0.000018,0.999809,108.000000,
0.881350,0.880625,0.880988,0.553627,0.880625,0.000016,0.614977,162.000000,
0.879142,0.878755,0.878949,0.560875,0.880625,0.000013,0.457947,216.000000,
0.878916,0.877507,0.878212,0.511157,0.880625,0.000011,0.453619,270.000000,
0.883221,0.883285,0.883253,0.522285,0.883285,0.000009,0.417641,324.000000,
0.882855,0.883872,0.883363,0.539111,0.883872,0.000007,0.379499,378.000000,
0.889905,0.888100,0.889002,0.478346,0.888100,0.000004,0.279839,432.000000,
0.890226,0.889328,0.889777,0.477142,0.889328,0.000002,0.258212,486.000000,
0.889637,0.889892,0.889764,0.481068,0.889892,0.000000,0.251209,540.000000,
