val_mcc,val_loss,best_val_mcc,learning_rate,loss,step,
0.500041,0.486547,0.500041,0.000020,0.543957,80.000000,
0.559737,0.447371,0.559737,0.000018,0.471904,160.000000,
0.512514,0.492466,0.559737,0.000016,0.417646,240.000000,
0.595902,0.568499,0.595902,0.000013,0.276346,320.000000,
0.559688,0.531669,0.595902,0.000011,0.220317,400.000000,
0.590461,0.470280,0.595902,0.000009,0.217740,480.000000,
0.575126,0.880282,0.595902,0.000007,0.170424,560.000000,
0.580897,0.667668,0.595902,0.000005,0.103507,640.000000,
0.590390,0.695909,0.595902,0.000002,0.115057,720.000000,
0.600508,0.726255,0.600508,0.000000,0.101134,800.000000,
0.600508,0.727009,0.600508,0.000000,0.041693,804.000000,
