val_pearson,val_spearmanr,val_corr,val_loss,best_val_spearmanr,learning_rate,loss,step,
0.880644,0.877559,0.879101,0.532165,0.877559,0.000020,2.396232,54.000000,
0.886566,0.885060,0.885813,0.588584,0.885060,0.000018,0.686483,108.000000,
0.898192,0.897991,0.898091,0.585218,0.897991,0.000016,0.590848,162.000000,
0.901025,0.900246,0.900635,0.444636,0.900246,0.000013,0.445856,216.000000,
0.902131,0.901498,0.901814,0.430400,0.901498,0.000011,0.354755,270.000000,
0.897896,0.899355,0.898626,0.507986,0.901498,0.000009,0.364736,324.000000,
0.901311,0.901955,0.901633,0.526034,0.901955,0.000007,0.291311,378.000000,
0.904931,0.904988,0.904960,0.472778,0.904988,0.000004,0.216127,432.000000,
0.907396,0.906036,0.906716,0.410299,0.906036,0.000002,0.210489,486.000000,
0.907643,0.907196,0.907419,0.447754,0.907196,0.000000,0.193413,540.000000,
