val_acc,val_loss,best_val_acc,learning_rate,loss,step,
0.492754,0.702815,0.492754,0.000020,0.706589,23.000000,
0.456522,0.711941,0.492754,0.000018,0.709833,46.000000,
0.471014,0.712095,0.492754,0.000016,0.722247,69.000000,
0.528986,0.679292,0.528986,0.000013,0.713392,92.000000,
0.471014,0.712550,0.528986,0.000011,0.702263,115.000000,
0.528986,0.657417,0.528986,0.000009,0.703887,138.000000,
0.471014,0.753082,0.528986,0.000007,0.702365,161.000000,
0.528986,0.667909,0.528986,0.000005,0.704434,184.000000,
0.471014,0.733825,0.528986,0.000003,0.709935,207.000000,
0.471014,0.698434,0.528986,0.000000,0.707864,230.000000,
0.471014,0.697964,0.528986,0.000000,0.708375,234.000000,
