val_acc,val_loss,best_val_acc,learning_rate,loss,step,
0.623188,0.627454,0.623188,0.000020,0.675990,23.000000,
0.608696,0.579907,0.623188,0.000018,0.662791,46.000000,
0.673913,0.540223,0.673913,0.000016,0.615942,69.000000,
0.673913,0.553815,0.673913,0.000013,0.512388,92.000000,
0.710145,0.546167,0.710145,0.000011,0.431377,115.000000,
0.753623,0.622872,0.753623,0.000009,0.403771,138.000000,
0.717391,0.552657,0.753623,0.000007,0.411726,161.000000,
0.753623,0.613600,0.753623,0.000005,0.227110,184.000000,
0.753623,0.602155,0.753623,0.000003,0.240275,207.000000,
0.739130,0.627145,0.753623,0.000000,0.201485,230.000000,
0.739130,0.624857,0.753623,0.000000,0.259946,234.000000,
