val_pearson,val_spearmanr,val_corr,val_loss,best_val_spearmanr,learning_rate,loss,step,
0.806771,0.795415,0.801093,0.809781,0.795415,0.000020,6.812371,54.000000,
0.779885,0.800334,0.790109,0.944436,0.800334,0.000018,0.830739,108.000000,
0.869134,0.868388,0.868761,0.567988,0.868388,0.000016,0.817635,162.000000,
0.878430,0.878009,0.878219,0.543164,0.878009,0.000013,0.560895,216.000000,
0.878527,0.878459,0.878493,0.569393,0.878459,0.000011,0.514961,270.000000,
0.884377,0.883843,0.884110,0.517359,0.883843,0.000009,0.498517,324.000000,
0.887905,0.887700,0.887802,0.482559,0.887700,0.000007,0.395645,378.000000,
0.889838,0.888704,0.889271,0.486471,0.888704,0.000004,0.327214,432.000000,
0.886494,0.887934,0.887214,0.510436,0.888704,0.000002,0.304965,486.000000,
0.889728,0.888898,0.889313,0.483944,0.888898,0.000000,0.306016,540.000000,
