val_acc,val_loss,best_val_acc,learning_rate,loss,step,
0.521739,0.848086,0.521739,0.000020,0.700570,23.000000,
0.528986,0.644721,0.528986,0.000018,0.729285,46.000000,
0.471014,0.722046,0.528986,0.000016,0.709749,69.000000,
0.471014,0.767737,0.528986,0.000013,0.716124,92.000000,
0.528986,0.685764,0.528986,0.000011,0.703616,115.000000,
0.528986,0.666891,0.528986,0.000009,0.705363,138.000000,
0.471014,0.699688,0.528986,0.000007,0.713670,161.000000,
0.528986,0.686518,0.528986,0.000005,0.709810,184.000000,
0.471014,0.695366,0.528986,0.000003,0.697266,207.000000,
0.528986,0.679805,0.528986,0.000000,0.706040,230.000000,
0.528986,0.679965,0.528986,0.000000,0.720704,234.000000,
