val_mcc,val_loss,best_val_mcc,learning_rate,loss,step,
0.488615,0.640416,0.488615,0.000020,0.561245,80.000000,
0.211833,0.779431,0.488615,0.000018,0.528995,160.000000,
0.058901,0.682233,0.488615,0.000016,0.595089,240.000000,
0.252427,0.757365,0.488615,0.000013,0.568005,320.000000,
0.472987,0.559409,0.488615,0.000011,0.424911,400.000000,
0.541121,0.455159,0.541121,0.000009,0.380026,480.000000,
0.554562,0.542643,0.554562,0.000007,0.317405,560.000000,
0.581239,0.511543,0.581239,0.000005,0.256414,640.000000,
0.582639,0.440929,0.582639,0.000002,0.232016,720.000000,
0.565487,0.479192,0.582639,0.000000,0.232693,800.000000,
0.565487,0.478980,0.582639,0.000000,0.331866,804.000000,
