val_pearson,val_spearmanr,val_corr,val_loss,best_val_spearmanr,learning_rate,loss,step,
0.739508,0.757184,0.748346,1.079332,0.757184,0.000020,5.725231,54.000000,
0.877012,0.877743,0.877378,0.579906,0.877743,0.000018,0.832110,108.000000,
0.892484,0.897010,0.894747,0.552829,0.897010,0.000016,0.615286,162.000000,
0.898461,0.896815,0.897638,0.468073,0.897010,0.000013,0.479098,216.000000,
0.901300,0.900770,0.901035,0.444665,0.900770,0.000011,0.404503,270.000000,
0.905427,0.905697,0.905562,0.424671,0.905697,0.000009,0.381374,324.000000,
0.905704,0.905801,0.905753,0.415589,0.905801,0.000007,0.330348,378.000000,
0.906613,0.905764,0.906189,0.417976,0.905801,0.000004,0.255698,432.000000,
0.908477,0.906945,0.907711,0.405553,0.906945,0.000002,0.236994,486.000000,
0.908887,0.907807,0.908347,0.411654,0.907807,0.000000,0.235412,540.000000,
