val_mcc,val_loss,best_val_mcc,learning_rate,loss,step,
0.429933,0.548554,0.429933,0.000020,0.551686,80.000000,
0.455137,0.618126,0.455137,0.000018,0.478246,160.000000,
0.474564,0.569859,0.474564,0.000016,0.419809,240.000000,
0.564667,0.467963,0.564667,0.000013,0.341417,320.000000,
0.590821,0.466901,0.590821,0.000011,0.313152,400.000000,
0.556324,0.515337,0.590821,0.000009,0.298982,480.000000,
0.534739,0.757885,0.590821,0.000007,0.286658,560.000000,
0.518750,0.637425,0.590821,0.000005,0.216427,640.000000,
0.567778,0.516400,0.590821,0.000002,0.214064,720.000000,
0.544471,0.588919,0.590821,0.000000,0.183207,800.000000,
0.544471,0.588112,0.590821,0.000000,0.162838,804.000000,
