val_mcc,val_loss,best_val_mcc,learning_rate,loss,step,
0.441453,0.666459,0.441453,0.000020,0.585430,80.000000,
0.446833,0.503929,0.446833,0.000018,0.521865,160.000000,
0.515492,0.479449,0.515492,0.000016,0.458017,240.000000,
0.567199,0.468090,0.567199,0.000013,0.357266,320.000000,
0.545679,0.646799,0.567199,0.000011,0.314255,400.000000,
0.598566,0.468327,0.598566,0.000009,0.290702,480.000000,
0.556715,0.544348,0.598566,0.000007,0.244279,560.000000,
0.546430,0.609255,0.598566,0.000005,0.171529,640.000000,
0.555141,0.655384,0.598566,0.000002,0.156782,720.000000,
0.562604,0.591851,0.598566,0.000000,0.182925,800.000000,
0.562604,0.591940,0.598566,0.000000,0.196811,804.000000,
