val_pearson,val_spearmanr,val_corr,val_loss,best_val_spearmanr,learning_rate,loss,step,
0.824600,0.824609,0.824605,1.007898,0.824609,0.000020,4.446110,54.000000,
0.861674,0.869417,0.865546,0.613279,0.869417,0.000018,0.933310,108.000000,
0.874179,0.871983,0.873081,0.571682,0.871983,0.000016,0.757606,162.000000,
0.858954,0.835366,0.847160,0.684308,0.871983,0.000013,0.581506,216.000000,
0.892106,0.893772,0.892939,0.533300,0.893772,0.000011,0.502529,270.000000,
0.898268,0.896175,0.897221,0.479655,0.896175,0.000009,0.444882,324.000000,
0.898674,0.896243,0.897459,0.466039,0.896243,0.000007,0.354048,378.000000,
0.898212,0.895898,0.897055,0.449537,0.896243,0.000004,0.256863,432.000000,
0.900415,0.897811,0.899113,0.442190,0.897811,0.000002,0.278387,486.000000,
0.900718,0.897978,0.899348,0.443651,0.897978,0.000000,0.274554,540.000000,
