val_mcc,val_loss,best_val_mcc,learning_rate,loss,step,
0.166375,0.939948,0.166375,0.000020,0.542632,80.000000,
0.507823,0.507029,0.507823,0.000018,0.447849,160.000000,
0.580278,0.451795,0.580278,0.000016,0.406621,240.000000,
0.564871,0.439830,0.580278,0.000013,0.273785,320.000000,
0.563254,0.572462,0.580278,0.000011,0.229652,400.000000,
0.561175,0.518917,0.580278,0.000009,0.224144,480.000000,
0.605972,0.686769,0.605972,0.000007,0.182067,560.000000,
0.560696,0.775076,0.605972,0.000005,0.116974,640.000000,
0.585838,0.683085,0.605972,0.000002,0.112703,720.000000,
0.595455,0.655340,0.605972,0.000000,0.109811,800.000000,
0.595455,0.655092,0.605972,0.000000,0.093164,804.000000,
