val_mcc,val_loss,best_val_mcc,learning_rate,loss,step,
0.441105,0.558562,0.441105,0.000020,0.601501,80.000000,
0.423721,0.567191,0.441105,0.000018,0.439044,160.000000,
0.507166,0.489862,0.507166,0.000016,0.406677,240.000000,
0.480100,0.643315,0.507166,0.000013,0.304694,320.000000,
0.554683,0.596580,0.554683,0.000011,0.273544,400.000000,
0.550376,0.445241,0.554683,0.000009,0.264906,480.000000,
0.551126,0.684054,0.554683,0.000007,0.219524,560.000000,
0.547005,0.660594,0.554683,0.000005,0.136031,640.000000,
0.558051,0.625065,0.558051,0.000002,0.126092,720.000000,
0.550669,0.677308,0.558051,0.000000,0.146176,800.000000,
0.550669,0.677399,0.558051,0.000000,0.127129,804.000000,
