val_mcc,val_loss,best_val_mcc,learning_rate,loss,step,
0.469025,0.473355,0.469025,0.000020,0.536202,80.000000,
0.528289,0.432889,0.528289,0.000018,0.416865,160.000000,
0.512636,0.511020,0.528289,0.000016,0.427583,240.000000,
0.568412,0.566728,0.568412,0.000013,0.287574,320.000000,
0.545182,0.652014,0.568412,0.000011,0.235361,400.000000,
0.549370,0.513835,0.568412,0.000009,0.220220,480.000000,
0.559688,0.734475,0.568412,0.000007,0.181353,560.000000,
0.569983,0.759549,0.569983,0.000005,0.114456,640.000000,
0.590821,0.680995,0.590821,0.000002,0.112531,720.000000,
0.590461,0.755965,0.590821,0.000000,0.119681,800.000000,
0.585517,0.754485,0.590821,0.000000,0.127119,804.000000,
