val_pearson,val_spearmanr,val_corr,val_loss,best_val_spearmanr,learning_rate,loss,step,
0.870072,0.872694,0.871383,0.854358,0.872694,0.000020,2.153869,54.000000,
0.891194,0.889254,0.890224,0.509921,0.889254,0.000018,0.650600,108.000000,
0.885832,0.891901,0.888866,0.502190,0.891901,0.000016,0.557877,162.000000,
0.898328,0.897530,0.897929,0.468942,0.897530,0.000013,0.421472,216.000000,
0.898061,0.897869,0.897965,0.530550,0.897869,0.000011,0.361213,270.000000,
0.900483,0.899110,0.899796,0.457632,0.899110,0.000009,0.359929,324.000000,
0.904209,0.903542,0.903875,0.437069,0.903542,0.000007,0.298144,378.000000,
0.904053,0.902642,0.903347,0.420084,0.903542,0.000004,0.212737,432.000000,
0.906400,0.904764,0.905582,0.444913,0.904764,0.000002,0.206833,486.000000,
0.906049,0.904542,0.905295,0.437389,0.904764,0.000000,0.202423,540.000000,
