val_mcc,val_loss,best_val_mcc,learning_rate,loss,step,
0.388178,0.621451,0.388178,0.000020,0.585793,80.000000,
0.554549,0.502987,0.554549,0.000018,0.500814,160.000000,
0.545456,0.461072,0.554549,0.000016,0.462980,240.000000,
0.560028,0.522191,0.560028,0.000013,0.340847,320.000000,
0.554516,0.565551,0.560028,0.000011,0.282654,400.000000,
0.559831,0.537468,0.560028,0.000009,0.278381,480.000000,
0.572358,0.525600,0.572358,0.000007,0.233242,560.000000,
0.550274,0.558715,0.572358,0.000005,0.171379,640.000000,
0.575502,0.618247,0.575502,0.000002,0.121436,720.000000,
0.601262,0.556237,0.601262,0.000000,0.143978,800.000000,
0.601262,0.556294,0.601262,0.000000,0.141027,804.000000,
