val_mcc,val_loss,best_val_mcc,learning_rate,loss,step,
0.414455,0.565626,0.414455,0.000020,0.526218,80.000000,
0.465415,0.584760,0.465415,0.000018,0.449943,160.000000,
0.593463,0.383511,0.593463,0.000016,0.413354,240.000000,
0.570006,0.507894,0.593463,0.000013,0.268562,320.000000,
0.533691,0.533450,0.593463,0.000011,0.233271,400.000000,
0.549370,0.518970,0.593463,0.000009,0.246465,480.000000,
0.545182,1.025511,0.593463,0.000007,0.172427,560.000000,
0.559831,0.720190,0.593463,0.000005,0.138980,640.000000,
0.564979,0.682578,0.593463,0.000002,0.115914,720.000000,
0.549686,0.755815,0.593463,0.000000,0.093944,800.000000,
0.549686,0.757092,0.593463,0.000000,0.128268,804.000000,
