val_pearson,val_spearmanr,val_corr,val_loss,best_val_spearmanr,learning_rate,loss,step,
0.811704,0.829578,0.820641,0.813706,0.829578,0.000020,4.009587,54.000000,
0.875524,0.876169,0.875846,0.579162,0.876169,0.000018,0.843771,108.000000,
0.882114,0.886048,0.884081,0.571353,0.886048,0.000016,0.651426,162.000000,
0.893570,0.892415,0.892992,0.467557,0.892415,0.000013,0.476898,216.000000,
0.894551,0.893413,0.893982,0.479560,0.893413,0.000011,0.421391,270.000000,
0.898572,0.899364,0.898968,0.467909,0.899364,0.000009,0.410803,324.000000,
0.897274,0.896576,0.896925,0.468516,0.899364,0.000007,0.363923,378.000000,
0.895436,0.897411,0.896424,0.496442,0.899364,0.000004,0.272655,432.000000,
0.895240,0.897191,0.896216,0.474197,0.899364,0.000002,0.273659,486.000000,
0.895829,0.896692,0.896261,0.475064,0.899364,0.000000,0.247027,540.000000,
