val_acc,val_loss,best_val_acc,learning_rate,loss,step,
0.471014,0.718048,0.471014,0.000020,0.690527,23.000000,
0.630435,0.665705,0.630435,0.000018,0.689192,46.000000,
0.637681,0.603372,0.637681,0.000016,0.658215,69.000000,
0.652174,0.558970,0.652174,0.000013,0.567550,92.000000,
0.644928,0.583745,0.652174,0.000011,0.549788,115.000000,
0.681159,0.576684,0.681159,0.000009,0.539626,138.000000,
0.702899,0.556427,0.702899,0.000007,0.438069,161.000000,
0.746377,0.520791,0.746377,0.000005,0.376392,184.000000,
0.746377,0.531766,0.746377,0.000003,0.344072,207.000000,
0.753623,0.501485,0.753623,0.000000,0.360700,230.000000,
0.739130,0.500199,0.753623,0.000000,0.439839,234.000000,
