val_pearson,val_spearmanr,val_corr,val_loss,best_val_spearmanr,learning_rate,loss,step,
0.597693,0.620040,0.608866,1.417577,0.620040,0.000020,8.244329,54.000000,
0.849465,0.853979,0.851722,0.663448,0.853979,0.000018,0.985040,108.000000,
0.879690,0.878429,0.879060,0.529264,0.878429,0.000016,0.682398,162.000000,
0.883355,0.885854,0.884604,0.506493,0.885854,0.000013,0.476782,216.000000,
0.874679,0.878005,0.876342,0.563728,0.885854,0.000011,0.499243,270.000000,
0.885419,0.885146,0.885282,0.501050,0.885854,0.000009,0.442992,324.000000,
0.888889,0.889725,0.889307,0.493009,0.889725,0.000007,0.375610,378.000000,
0.890475,0.893088,0.891781,0.473741,0.893088,0.000004,0.283281,432.000000,
0.891807,0.891884,0.891845,0.472452,0.893088,0.000002,0.287929,486.000000,
0.892600,0.893699,0.893149,0.468487,0.893699,0.000000,0.270379,540.000000,
