val_acc,val_loss,best_val_acc,learning_rate,loss,step,
0.471014,0.710796,0.471014,0.000020,0.698683,23.000000,
0.514493,0.697384,0.514493,0.000018,0.709118,46.000000,
0.601449,0.679559,0.601449,0.000016,0.690900,69.000000,
0.623188,0.647083,0.623188,0.000013,0.682836,92.000000,
0.623188,0.618033,0.623188,0.000011,0.673170,115.000000,
0.681159,0.571227,0.681159,0.000009,0.636531,138.000000,
0.586957,0.730207,0.681159,0.000007,0.616883,161.000000,
0.659420,0.658504,0.681159,0.000005,0.578712,184.000000,
0.652174,0.645439,0.681159,0.000003,0.551603,207.000000,
0.681159,0.656580,0.681159,0.000000,0.523508,230.000000,
0.681159,0.657094,0.681159,0.000000,0.530376,234.000000,
