val_mcc,val_loss,best_val_mcc,learning_rate,loss,step,
0.423604,0.619706,0.423604,0.000020,0.527844,80.000000,
0.525198,0.456910,0.525198,0.000018,0.499125,160.000000,
0.573313,0.448143,0.573313,0.000016,0.419582,240.000000,
0.580508,0.475056,0.580508,0.000013,0.314866,320.000000,
0.579418,0.516182,0.580508,0.000011,0.224200,400.000000,
0.519149,0.592789,0.580508,0.000009,0.243187,480.000000,
0.600745,0.589517,0.600745,0.000007,0.220539,560.000000,
0.586007,0.653127,0.600745,0.000005,0.129267,640.000000,
0.590821,0.691179,0.600745,0.000002,0.109586,720.000000,
0.592872,0.640986,0.600745,0.000000,0.111196,800.000000,
0.592872,0.640892,0.600745,0.000000,0.186942,804.000000,
