val_pearson,val_spearmanr,val_corr,val_loss,best_val_spearmanr,learning_rate,loss,step,
0.861643,0.860812,0.861227,0.854457,0.860812,0.000020,2.618025,54.000000,
0.896154,0.894370,0.895262,0.481543,0.894370,0.000018,0.702767,108.000000,
0.899914,0.897900,0.898907,0.449560,0.897900,0.000016,0.601396,162.000000,
0.893538,0.893809,0.893673,0.492606,0.897900,0.000013,0.412760,216.000000,
0.900726,0.898998,0.899862,0.467672,0.898998,0.000011,0.372582,270.000000,
0.896827,0.895609,0.896218,0.509491,0.898998,0.000009,0.339117,324.000000,
0.901484,0.899675,0.900579,0.473780,0.899675,0.000007,0.285629,378.000000,
0.900519,0.898817,0.899668,0.478730,0.899675,0.000004,0.232794,432.000000,
0.904452,0.902455,0.903453,0.421144,0.902455,0.000002,0.200378,486.000000,
0.904476,0.903067,0.903772,0.434782,0.903067,0.000000,0.182925,540.000000,
