val_acc,val_loss,best_val_acc,learning_rate,loss,step,
0.586957,0.610639,0.586957,0.000020,0.706926,23.000000,
0.637681,0.577408,0.637681,0.000018,0.642409,46.000000,
0.688406,0.618241,0.688406,0.000016,0.641477,69.000000,
0.695652,0.606571,0.695652,0.000013,0.489864,92.000000,
0.717391,0.521406,0.717391,0.000011,0.440597,115.000000,
0.688406,0.543545,0.717391,0.000009,0.424258,138.000000,
0.695652,0.515088,0.717391,0.000007,0.370863,161.000000,
0.710145,0.611503,0.717391,0.000005,0.192926,184.000000,
0.768116,0.609290,0.768116,0.000003,0.197402,207.000000,
0.739130,0.610504,0.768116,0.000000,0.203533,230.000000,
0.739130,0.608200,0.768116,0.000000,0.221898,234.000000,
