val_acc,val_loss,best_val_acc,learning_rate,loss,step,
0.471014,0.881784,0.471014,0.000020,0.860590,23.000000,
0.471014,0.704664,0.471014,0.000018,0.711032,46.000000,
0.572464,0.686267,0.572464,0.000016,0.688186,69.000000,
0.630435,0.687475,0.630435,0.000013,0.625147,92.000000,
0.666667,0.579483,0.666667,0.000011,0.596857,115.000000,
0.637681,0.541899,0.666667,0.000009,0.606181,138.000000,
0.673913,0.527129,0.673913,0.000007,0.560982,161.000000,
0.717391,0.527418,0.717391,0.000005,0.456414,184.000000,
0.695652,0.541537,0.717391,0.000003,0.383190,207.000000,
0.681159,0.539321,0.717391,0.000000,0.429608,230.000000,
0.681159,0.539371,0.717391,0.000000,0.442101,234.000000,
