val_acc,val_loss,best_val_acc,learning_rate,loss,step,
0.471014,0.862661,0.471014,0.000020,0.716775,23.000000,
0.478261,0.738249,0.478261,0.000018,0.716593,46.000000,
0.528986,0.664029,0.528986,0.000016,0.719705,69.000000,
0.471014,0.698299,0.528986,0.000013,0.716847,92.000000,
0.471014,0.709245,0.528986,0.000011,0.720514,115.000000,
0.528986,0.672894,0.528986,0.000009,0.702784,138.000000,
0.471014,0.702342,0.528986,0.000007,0.713495,161.000000,
0.471014,0.703417,0.528986,0.000005,0.696454,184.000000,
0.528986,0.680764,0.528986,0.000003,0.697610,207.000000,
0.528986,0.678464,0.528986,0.000000,0.702137,230.000000,
0.528986,0.678486,0.528986,0.000000,0.712562,234.000000,
