val_acc,val_loss,best_val_acc,learning_rate,loss,step,
0.528986,0.658645,0.528986,0.000020,0.829453,23.000000,
0.514493,0.691474,0.528986,0.000018,0.696403,46.000000,
0.608696,0.703960,0.608696,0.000016,0.692751,69.000000,
0.652174,0.566823,0.652174,0.000013,0.647043,92.000000,
0.666667,0.537813,0.666667,0.000011,0.569915,115.000000,
0.710145,0.519383,0.710145,0.000009,0.579280,138.000000,
0.673913,0.492943,0.710145,0.000007,0.524268,161.000000,
0.739130,0.508190,0.739130,0.000005,0.445398,184.000000,
0.710145,0.513752,0.739130,0.000003,0.431041,207.000000,
0.702899,0.506138,0.739130,0.000000,0.412498,230.000000,
0.710145,0.505974,0.739130,0.000000,0.394831,234.000000,
