val_pearson,val_spearmanr,val_corr,val_loss,best_val_spearmanr,learning_rate,loss,step,
0.553395,0.530576,0.541986,1.635456,0.530576,0.000020,6.473534,54.000000,
0.851546,0.854576,0.853061,0.661891,0.854576,0.000018,1.060520,108.000000,
0.865626,0.868839,0.867233,0.771966,0.868839,0.000016,0.969466,162.000000,
0.888890,0.887082,0.887986,0.492773,0.887082,0.000013,0.585906,216.000000,
0.888429,0.889885,0.889157,0.499419,0.889885,0.000011,0.512024,270.000000,
0.892141,0.891815,0.891978,0.578017,0.891815,0.000009,0.494544,324.000000,
0.898397,0.897866,0.898132,0.485523,0.897866,0.000007,0.424625,378.000000,
0.897663,0.895627,0.896645,0.457909,0.897866,0.000004,0.322079,432.000000,
0.899955,0.898102,0.899028,0.446003,0.898102,0.000002,0.300317,486.000000,
0.900846,0.899067,0.899957,0.449547,0.899067,0.000000,0.302165,540.000000,
