val_mcc,val_loss,best_val_mcc,learning_rate,loss,step,
0.325734,0.607358,0.325734,0.000020,0.597639,80.000000,
0.491340,0.472074,0.491340,0.000018,0.468749,160.000000,
0.517958,0.500403,0.517958,0.000016,0.421765,240.000000,
0.549682,0.482377,0.549682,0.000013,0.360499,320.000000,
0.491623,0.611360,0.549682,0.000011,0.288882,400.000000,
0.538935,0.511748,0.549682,0.000009,0.304065,480.000000,
0.514826,0.774885,0.549682,0.000007,0.235689,560.000000,
0.539833,0.735353,0.549682,0.000005,0.191184,640.000000,
0.508098,0.674039,0.549682,0.000002,0.193814,720.000000,
0.520134,0.655303,0.549682,0.000000,0.160690,800.000000,
0.520134,0.656452,0.549682,0.000000,0.189856,804.000000,
