val_mcc,val_loss,best_val_mcc,learning_rate,loss,step,
0.373218,0.541242,0.373218,0.000020,0.535960,80.000000,
0.482586,0.474936,0.482586,0.000018,0.491720,160.000000,
0.490979,0.496877,0.490979,0.000016,0.466712,240.000000,
0.496745,0.515184,0.496745,0.000013,0.329376,320.000000,
0.543097,0.420462,0.543097,0.000011,0.283791,400.000000,
0.595682,0.459984,0.595682,0.000009,0.252968,480.000000,
0.615590,0.592566,0.615590,0.000007,0.205239,560.000000,
0.611070,0.565356,0.615590,0.000005,0.121934,640.000000,
0.625585,0.559428,0.625585,0.000002,0.136229,720.000000,
0.615563,0.547196,0.625585,0.000000,0.113036,800.000000,
0.615563,0.547321,0.625585,0.000000,0.132137,804.000000,
