val_acc,val_loss,best_val_acc,learning_rate,loss,step,
0.572464,0.600573,0.572464,0.000020,0.697977,23.000000,
0.666667,0.528702,0.666667,0.000018,0.614440,46.000000,
0.666667,0.521165,0.666667,0.000016,0.633252,69.000000,
0.688406,0.501773,0.688406,0.000013,0.539530,92.000000,
0.688406,0.505085,0.688406,0.000011,0.448315,115.000000,
0.666667,0.549805,0.688406,0.000009,0.429592,138.000000,
0.710145,0.496048,0.710145,0.000007,0.409911,161.000000,
0.724638,0.513582,0.724638,0.000005,0.270709,184.000000,
0.760870,0.523110,0.760870,0.000003,0.242527,207.000000,
0.739130,0.539208,0.760870,0.000000,0.237652,230.000000,
0.731884,0.540658,0.760870,0.000000,0.124626,234.000000,
