val_mcc,val_loss,best_val_mcc,learning_rate,loss,step,
0.237159,0.646738,0.237159,0.000020,0.555949,80.000000,
0.447218,0.540393,0.447218,0.000018,0.492811,160.000000,
0.523453,0.490544,0.523453,0.000016,0.412191,240.000000,
0.507170,0.603856,0.523453,0.000013,0.297119,320.000000,
0.605216,0.454513,0.605216,0.000011,0.272024,400.000000,
0.545456,0.514435,0.605216,0.000009,0.261837,480.000000,
0.560653,0.559915,0.605216,0.000007,0.236450,560.000000,
0.580622,0.610192,0.605216,0.000005,0.141858,640.000000,
0.544487,0.688593,0.605216,0.000002,0.127303,720.000000,
0.570368,0.613290,0.605216,0.000000,0.137399,800.000000,
0.570368,0.613303,0.605216,0.000000,0.123509,804.000000,
