val_acc,val_loss,best_val_acc,learning_rate,loss,step,
0.586957,0.692612,0.586957,0.000020,0.691558,23.000000,
0.594203,0.641373,0.594203,0.000018,0.690344,46.000000,
0.623188,0.615061,0.623188,0.000016,0.666407,69.000000,
0.681159,0.579981,0.681159,0.000013,0.589062,92.000000,
0.702899,0.625241,0.702899,0.000011,0.525512,115.000000,
0.695652,0.564437,0.702899,0.000009,0.548010,138.000000,
0.710145,0.545268,0.710145,0.000007,0.505585,161.000000,
0.717391,0.568343,0.717391,0.000005,0.397580,184.000000,
0.739130,0.567899,0.739130,0.000003,0.367502,207.000000,
0.731884,0.552742,0.739130,0.000000,0.357525,230.000000,
0.731884,0.551778,0.739130,0.000000,0.477576,234.000000,
