val_pearson,val_spearmanr,val_corr,val_loss,best_val_spearmanr,learning_rate,loss,step,
0.808487,0.805614,0.807050,1.016503,0.805614,0.000020,4.224106,54.000000,
0.828441,0.859876,0.844159,0.703147,0.859876,0.000018,0.969608,108.000000,
0.877428,0.879364,0.878396,0.564879,0.879364,0.000016,0.896068,162.000000,
0.873526,0.880398,0.876962,0.559507,0.880398,0.000013,0.614781,216.000000,
0.883282,0.885782,0.884532,0.531128,0.885782,0.000011,0.477588,270.000000,
0.892368,0.890661,0.891514,0.456982,0.890661,0.000009,0.400649,324.000000,
0.890973,0.889555,0.890264,0.463635,0.890661,0.000007,0.362594,378.000000,
0.897505,0.896839,0.897172,0.439862,0.896839,0.000004,0.298831,432.000000,
0.898060,0.897051,0.897556,0.434047,0.897051,0.000002,0.263185,486.000000,
0.897990,0.897023,0.897507,0.432254,0.897051,0.000000,0.261611,540.000000,
