val_mcc,val_loss,best_val_mcc,learning_rate,loss,step,
0.452570,0.505838,0.452570,0.000020,0.533224,80.000000,
0.475178,0.495167,0.475178,0.000018,0.457506,160.000000,
0.508514,0.475020,0.508514,0.000016,0.388722,240.000000,
0.603256,0.446230,0.603256,0.000013,0.288517,320.000000,
0.569844,0.527997,0.603256,0.000011,0.217733,400.000000,
0.580897,0.535930,0.603256,0.000009,0.233984,480.000000,
0.635666,0.542181,0.635666,0.000007,0.197985,560.000000,
0.585310,0.831666,0.635666,0.000005,0.107087,640.000000,
0.595454,0.736897,0.635666,0.000002,0.099014,720.000000,
0.590394,0.814958,0.635666,0.000000,0.092182,800.000000,
0.590394,0.815386,0.635666,0.000000,0.092565,804.000000,
