val_acc,val_loss,best_val_acc,learning_rate,loss,step,
0.543478,0.688349,0.543478,0.000020,0.708417,23.000000,
0.492754,0.690365,0.543478,0.000018,0.698752,46.000000,
0.492754,0.779368,0.543478,0.000016,0.689849,69.000000,
0.630435,0.642798,0.630435,0.000013,0.661443,92.000000,
0.630435,0.637242,0.630435,0.000011,0.618369,115.000000,
0.673913,0.548608,0.673913,0.000009,0.611817,138.000000,
0.659420,0.544321,0.673913,0.000007,0.574270,161.000000,
0.673913,0.575989,0.673913,0.000005,0.437036,184.000000,
0.666667,0.581081,0.673913,0.000003,0.451751,207.000000,
0.688406,0.571993,0.688406,0.000000,0.454082,230.000000,
0.688406,0.571919,0.688406,0.000000,0.436410,234.000000,
