val_acc,val_loss,best_val_acc,learning_rate,loss,step,
0.565217,0.610911,0.565217,0.000020,0.744074,23.000000,
0.572464,0.658226,0.572464,0.000018,0.678628,46.000000,
0.572464,0.720012,0.572464,0.000016,0.689566,69.000000,
0.731884,0.497752,0.731884,0.000013,0.555816,92.000000,
0.652174,0.551880,0.731884,0.000011,0.526677,115.000000,
0.702899,0.516759,0.731884,0.000009,0.475157,138.000000,
0.724638,0.506436,0.731884,0.000007,0.421453,161.000000,
0.739130,0.578286,0.739130,0.000005,0.290725,184.000000,
0.724638,0.574270,0.739130,0.000003,0.261519,207.000000,
0.724638,0.576707,0.739130,0.000000,0.242312,230.000000,
0.724638,0.577018,0.739130,0.000000,0.279538,234.000000,
