val_acc,val_loss,best_val_acc,learning_rate,loss,step,
0.528986,0.685849,0.528986,0.000020,0.737204,23.000000,
0.528986,0.669782,0.528986,0.000018,0.708697,46.000000,
0.471014,0.707015,0.528986,0.000016,0.714449,69.000000,
0.528986,0.681940,0.528986,0.000013,0.718530,92.000000,
0.528986,0.656794,0.528986,0.000011,0.719374,115.000000,
0.528986,0.661407,0.528986,0.000009,0.711824,138.000000,
0.528986,0.655643,0.528986,0.000007,0.698039,161.000000,
0.471014,0.701376,0.528986,0.000005,0.706956,184.000000,
0.528986,0.689570,0.528986,0.000003,0.694120,207.000000,
0.471014,0.702514,0.528986,0.000000,0.702907,230.000000,
0.471014,0.701463,0.528986,0.000000,0.695664,234.000000,
