val_pearson,val_spearmanr,val_corr,val_loss,best_val_spearmanr,learning_rate,loss,step,
0.864597,0.862189,0.863393,0.591574,0.862189,0.000020,2.338355,54.000000,
0.886552,0.885734,0.886143,0.495456,0.885734,0.000018,0.654640,108.000000,
0.892382,0.891175,0.891778,0.524458,0.891175,0.000016,0.683361,162.000000,
0.892068,0.894092,0.893080,0.535941,0.894092,0.000013,0.445480,216.000000,
0.899856,0.899800,0.899828,0.498917,0.899800,0.000011,0.380036,270.000000,
0.904968,0.903326,0.904147,0.471662,0.903326,0.000009,0.338119,324.000000,
0.907309,0.905296,0.906303,0.406922,0.905296,0.000007,0.285860,378.000000,
0.905792,0.904003,0.904898,0.439138,0.905296,0.000004,0.206417,432.000000,
0.904972,0.903836,0.904404,0.447738,0.905296,0.000002,0.212843,486.000000,
0.906208,0.904268,0.905238,0.438444,0.905296,0.000000,0.211037,540.000000,
