val_acc,val_loss,best_val_acc,learning_rate,loss,step,
0.528986,0.634288,0.528986,0.000020,0.883760,23.000000,
0.471014,0.808704,0.528986,0.000018,0.717868,46.000000,
0.471014,0.741310,0.528986,0.000016,0.725914,69.000000,
0.528986,0.668762,0.528986,0.000013,0.713978,92.000000,
0.565217,0.692650,0.565217,0.000011,0.709046,115.000000,
0.528986,0.680057,0.565217,0.000009,0.702940,138.000000,
0.594203,0.682375,0.594203,0.000007,0.708272,161.000000,
0.550725,0.660582,0.594203,0.000005,0.689793,184.000000,
0.565217,0.653970,0.594203,0.000003,0.708449,207.000000,
0.565217,0.648891,0.594203,0.000000,0.697442,230.000000,
0.586957,0.649593,0.594203,0.000000,0.709428,234.000000,
