val_mcc,val_loss,best_val_mcc,learning_rate,loss,step,
0.497780,0.514174,0.497780,0.000020,0.546022,80.000000,
0.277410,0.654430,0.497780,0.000018,0.532063,160.000000,
0.000000,0.644935,0.497780,0.000016,0.571338,240.000000,
0.135802,0.584009,0.497780,0.000013,0.602977,320.000000,
0.376575,0.542639,0.497780,0.000011,0.546259,400.000000,
0.407539,0.575626,0.497780,0.000009,0.484088,480.000000,
0.431177,0.532650,0.497780,0.000007,0.461877,560.000000,
0.446657,0.558507,0.497780,0.000005,0.427743,640.000000,
0.481542,0.500698,0.497780,0.000002,0.387402,720.000000,
0.479947,0.495692,0.497780,0.000000,0.405823,800.000000,
0.479947,0.495740,0.497780,0.000000,0.509759,804.000000,
