val_pearson,val_spearmanr,val_corr,val_loss,best_val_spearmanr,learning_rate,loss,step,
0.867057,0.863678,0.865367,0.631212,0.863678,0.000020,2.450526,54.000000,
0.890152,0.889708,0.889930,0.503082,0.889708,0.000018,0.645680,108.000000,
0.879853,0.881706,0.880779,0.534028,0.889708,0.000016,0.657963,162.000000,
0.898131,0.899757,0.898944,0.495129,0.899757,0.000013,0.422734,216.000000,
0.901683,0.902749,0.902216,0.442769,0.902749,0.000011,0.363503,270.000000,
0.902685,0.902756,0.902720,0.429731,0.902756,0.000009,0.347634,324.000000,
0.902593,0.903049,0.902821,0.428566,0.903049,0.000007,0.303501,378.000000,
0.906025,0.903963,0.904994,0.455857,0.903963,0.000004,0.225140,432.000000,
0.905503,0.904358,0.904931,0.437966,0.904358,0.000002,0.207918,486.000000,
0.905170,0.904204,0.904687,0.427050,0.904358,0.000000,0.202239,540.000000,
