val_mcc,val_loss,best_val_mcc,learning_rate,loss,step,
0.401714,0.622127,0.401714,0.000020,0.609636,80.000000,
0.578486,0.450017,0.578486,0.000018,0.475388,160.000000,
0.576516,0.429451,0.578486,0.000016,0.386879,240.000000,
0.582112,0.465772,0.582112,0.000013,0.323998,320.000000,
0.540473,0.469078,0.582112,0.000011,0.256324,400.000000,
0.561050,0.415709,0.582112,0.000009,0.280066,480.000000,
0.562604,0.607570,0.582112,0.000007,0.215349,560.000000,
0.560056,0.629899,0.582112,0.000005,0.150024,640.000000,
0.565219,0.598766,0.582112,0.000002,0.142968,720.000000,
0.554877,0.596412,0.582112,0.000000,0.126995,800.000000,
0.554877,0.596137,0.582112,0.000000,0.232899,804.000000,
