val_pearson,val_spearmanr,val_corr,val_loss,best_val_spearmanr,learning_rate,loss,step,
0.808978,0.802489,0.805733,0.876878,0.802489,0.000020,1.982553,54.000000,
0.881163,0.883705,0.882434,0.532231,0.883705,0.000018,0.781837,108.000000,
0.884676,0.889643,0.887159,0.550881,0.889643,0.000016,0.681980,162.000000,
0.895956,0.902948,0.899452,0.444301,0.902948,0.000013,0.488170,216.000000,
0.902877,0.902841,0.902859,0.445333,0.902948,0.000011,0.362242,270.000000,
0.907103,0.906165,0.906634,0.416642,0.906165,0.000009,0.343558,324.000000,
0.908727,0.906441,0.907584,0.394997,0.906441,0.000007,0.313033,378.000000,
0.910530,0.907274,0.908902,0.395288,0.907274,0.000004,0.206445,432.000000,
0.910766,0.909074,0.909920,0.391436,0.909074,0.000002,0.210656,486.000000,
0.912024,0.909605,0.910814,0.387677,0.909605,0.000000,0.190249,540.000000,
