val_mcc,val_loss,best_val_mcc,learning_rate,loss,step,
0.453221,0.567213,0.453221,0.000020,0.555201,80.000000,
0.562896,0.451996,0.562896,0.000018,0.445978,160.000000,
0.571220,0.432400,0.571220,0.000016,0.414159,240.000000,
0.545062,0.545882,0.571220,0.000013,0.316227,320.000000,
0.528428,0.617696,0.571220,0.000011,0.265601,400.000000,
0.556842,0.455195,0.571220,0.000009,0.259632,480.000000,
0.580622,0.579112,0.580622,0.000007,0.224540,560.000000,
0.575679,0.655882,0.580622,0.000005,0.139981,640.000000,
0.587761,0.587736,0.587761,0.000002,0.149042,720.000000,
0.559688,0.656559,0.587761,0.000000,0.160138,800.000000,
0.559688,0.656368,0.587761,0.000000,0.126088,804.000000,
