val_mcc,val_loss,best_val_mcc,learning_rate,loss,step,
0.534633,0.488168,0.534633,0.000020,0.552709,80.000000,
0.519149,0.561250,0.534633,0.000018,0.445331,160.000000,
0.566024,0.443985,0.566024,0.000016,0.421689,240.000000,
0.501757,0.599142,0.566024,0.000013,0.307299,320.000000,
0.562604,0.487975,0.566024,0.000011,0.254146,400.000000,
0.602521,0.434637,0.602521,0.000009,0.235262,480.000000,
0.603061,0.591432,0.603061,0.000007,0.226333,560.000000,
0.605547,0.651502,0.605547,0.000005,0.148678,640.000000,
0.586007,0.620140,0.605547,0.000002,0.138493,720.000000,
0.580278,0.700524,0.605547,0.000000,0.105183,800.000000,
0.580278,0.699740,0.605547,0.000000,0.194016,804.000000,
