val_acc,val_loss,best_val_acc,learning_rate,loss,step,
0.644928,0.611399,0.644928,0.000020,0.704482,23.000000,
0.615942,0.631569,0.644928,0.000018,0.602968,46.000000,
0.731884,0.569495,0.731884,0.000016,0.642870,69.000000,
0.673913,0.586975,0.731884,0.000013,0.532744,92.000000,
0.702899,0.532304,0.731884,0.000011,0.463483,115.000000,
0.739130,0.588672,0.739130,0.000009,0.435800,138.000000,
0.731884,0.585410,0.739130,0.000007,0.341266,161.000000,
0.739130,0.610110,0.739130,0.000005,0.240404,184.000000,
0.739130,0.590476,0.739130,0.000003,0.203636,207.000000,
0.724638,0.597281,0.739130,0.000000,0.213835,230.000000,
0.724638,0.596621,0.739130,0.000000,0.167383,234.000000,
