val_mcc,val_loss,best_val_mcc,learning_rate,loss,step,
0.495335,0.496918,0.495335,0.000020,0.533687,80.000000,
0.566679,0.458785,0.566679,0.000018,0.444480,160.000000,
0.613817,0.387685,0.613817,0.000016,0.402422,240.000000,
0.581645,0.493670,0.613817,0.000013,0.310739,320.000000,
0.602521,0.487793,0.613817,0.000011,0.222280,400.000000,
0.570038,0.538851,0.613817,0.000009,0.218371,480.000000,
0.591865,0.865542,0.613817,0.000007,0.197034,560.000000,
0.615690,0.676115,0.615690,0.000005,0.139413,640.000000,
0.605636,0.687115,0.615690,0.000002,0.108909,720.000000,
0.615613,0.737857,0.615690,0.000000,0.094329,800.000000,
0.615613,0.737484,0.615690,0.000000,0.170380,804.000000,
