val_mcc,val_loss,best_val_mcc,learning_rate,loss,step,
0.379467,0.744305,0.379467,0.000020,0.533248,80.000000,
0.515491,0.585155,0.515491,0.000018,0.445258,160.000000,
0.573313,0.416449,0.573313,0.000016,0.410987,240.000000,
0.512516,0.562019,0.573313,0.000013,0.290485,320.000000,
0.568412,0.520650,0.573313,0.000011,0.217914,400.000000,
0.539243,0.566516,0.573313,0.000009,0.226873,480.000000,
0.560321,0.683421,0.573313,0.000007,0.196923,560.000000,
0.590606,0.620527,0.590606,0.000005,0.130914,640.000000,
0.570299,0.904063,0.590606,0.000002,0.081380,720.000000,
0.585517,0.738991,0.590606,0.000000,0.107407,800.000000,
0.585517,0.738578,0.590606,0.000000,0.103124,804.000000,
