val_mcc,val_loss,best_val_mcc,learning_rate,loss,step,
0.446657,0.545925,0.446657,0.000020,0.532946,80.000000,
0.546430,0.483515,0.546430,0.000018,0.447569,160.000000,
0.573497,0.392400,0.573497,0.000016,0.401708,240.000000,
0.594109,0.443171,0.594109,0.000013,0.290609,320.000000,
0.497368,0.583528,0.594109,0.000011,0.212522,400.000000,
0.565829,0.548088,0.594109,0.000009,0.220371,480.000000,
0.621440,0.625866,0.621440,0.000007,0.184761,560.000000,
0.601262,0.769554,0.621440,0.000005,0.099457,640.000000,
0.585517,0.726378,0.621440,0.000002,0.094330,720.000000,
0.606685,0.650191,0.621440,0.000000,0.105586,800.000000,
0.606685,0.650876,0.621440,0.000000,0.014315,804.000000,
