val_pearson,val_spearmanr,val_corr,val_loss,best_val_spearmanr,learning_rate,loss,step,
0.697984,0.676159,0.687071,1.181339,0.676159,0.000020,8.866598,54.000000,
0.853661,0.849691,0.851676,0.689079,0.849691,0.000018,1.003550,108.000000,
0.890657,0.891739,0.891198,0.637353,0.891739,0.000016,0.687559,162.000000,
0.886166,0.884472,0.885319,0.498949,0.891739,0.000013,0.540680,216.000000,
0.894052,0.890925,0.892489,0.493919,0.891739,0.000011,0.513143,270.000000,
0.894264,0.892512,0.893388,0.492428,0.892512,0.000009,0.417161,324.000000,
0.901048,0.896931,0.898990,0.453414,0.896931,0.000007,0.368152,378.000000,
0.899652,0.896255,0.897953,0.455830,0.896931,0.000004,0.299832,432.000000,
0.899292,0.895725,0.897509,0.465865,0.896931,0.000002,0.293024,486.000000,
0.898849,0.895492,0.897170,0.465481,0.896931,0.000000,0.313794,540.000000,
