val_pearson,val_spearmanr,val_corr,val_loss,best_val_spearmanr,learning_rate,loss,step,
0.808499,0.837900,0.823199,1.235808,0.837900,0.000020,3.178376,54.000000,
0.762007,0.805962,0.783984,0.988984,0.837900,0.000018,1.666349,108.000000,
0.867966,0.865594,0.866780,0.583600,0.865594,0.000016,0.940327,162.000000,
0.889955,0.892257,0.891106,0.511504,0.892257,0.000013,0.611698,216.000000,
0.895588,0.895354,0.895471,0.458956,0.895354,0.000011,0.524159,270.000000,
0.897289,0.898157,0.897723,0.465664,0.898157,0.000009,0.488645,324.000000,
0.901657,0.899862,0.900760,0.432866,0.899862,0.000007,0.450727,378.000000,
0.900355,0.897525,0.898940,0.433972,0.899862,0.000004,0.283099,432.000000,
0.901339,0.900304,0.900821,0.442912,0.900304,0.000002,0.307486,486.000000,
0.902441,0.900212,0.901327,0.428763,0.900304,0.000000,0.278987,540.000000,
