val_pearson,val_spearmanr,val_corr,val_loss,best_val_spearmanr,learning_rate,loss,step,
0.843070,0.834293,0.838681,0.788386,0.834293,0.000020,3.062963,54.000000,
0.868157,0.869785,0.868971,0.641352,0.869785,0.000018,2.065861,108.000000,
0.878372,0.884715,0.881543,0.676261,0.884715,0.000016,0.687526,162.000000,
0.884931,0.883557,0.884244,0.506732,0.884715,0.000013,0.606632,216.000000,
0.889585,0.886416,0.888001,0.520171,0.886416,0.000011,0.449534,270.000000,
0.890236,0.889200,0.889718,0.460223,0.889200,0.000009,0.442682,324.000000,
0.890479,0.890862,0.890671,0.462424,0.890862,0.000007,0.351810,378.000000,
0.895505,0.895695,0.895600,0.446896,0.895695,0.000004,0.273071,432.000000,
0.894139,0.894656,0.894398,0.451718,0.895695,0.000002,0.252444,486.000000,
0.895682,0.896099,0.895890,0.447351,0.896099,0.000000,0.245953,540.000000,
