val_acc,val_loss,best_val_acc,learning_rate,loss,step,
0.543478,0.629037,0.543478,0.000020,0.841336,23.000000,
0.500000,0.728567,0.543478,0.000018,0.688788,46.000000,
0.528986,0.730471,0.543478,0.000016,0.673894,69.000000,
0.652174,0.593500,0.652174,0.000013,0.637437,92.000000,
0.659420,0.503615,0.659420,0.000011,0.582040,115.000000,
0.666667,0.509688,0.666667,0.000009,0.553191,138.000000,
0.666667,0.504436,0.666667,0.000007,0.523946,161.000000,
0.717391,0.499740,0.717391,0.000005,0.409544,184.000000,
0.695652,0.529363,0.717391,0.000003,0.423219,207.000000,
0.695652,0.526440,0.717391,0.000000,0.361446,230.000000,
0.702899,0.527228,0.717391,0.000000,0.413958,234.000000,
