val_mcc,val_loss,best_val_mcc,learning_rate,loss,step,
0.000000,0.705025,0.000000,0.000020,0.628090,80.000000,
0.000000,0.698065,0.000000,0.000018,0.614879,160.000000,
0.000000,0.661984,0.000000,0.000016,0.627536,240.000000,
0.000000,0.680651,0.000000,0.000013,0.616213,320.000000,
0.000000,0.684751,0.000000,0.000011,0.620783,400.000000,
0.000000,0.667925,0.000000,0.000009,0.622439,480.000000,
0.000000,0.676512,0.000000,0.000007,0.608805,560.000000,
0.000000,0.673673,0.000000,0.000005,0.610071,640.000000,
0.000000,0.676053,0.000000,0.000002,0.610775,720.000000,
0.000000,0.678218,0.000000,0.000000,0.615179,800.000000,
0.000000,0.678203,0.000000,0.000000,0.605576,804.000000,
