val_acc,val_loss,best_val_acc,learning_rate,loss,step,
0.644928,0.610043,0.644928,0.000020,0.696651,23.000000,
0.543478,0.748120,0.644928,0.000018,0.692067,46.000000,
0.688406,0.531875,0.688406,0.000016,0.698743,69.000000,
0.710145,0.524898,0.710145,0.000013,0.522738,92.000000,
0.681159,0.523372,0.710145,0.000011,0.463214,115.000000,
0.673913,0.546165,0.710145,0.000009,0.449811,138.000000,
0.688406,0.576332,0.710145,0.000007,0.420916,161.000000,
0.710145,0.590307,0.710145,0.000005,0.271337,184.000000,
0.702899,0.603227,0.710145,0.000003,0.233059,207.000000,
0.717391,0.597366,0.717391,0.000000,0.223871,230.000000,
0.702899,0.596600,0.717391,0.000000,0.265333,234.000000,
